Srno,Company,Timestamp,Title,Description
188,Tata Steel,"19 Apr 2024, 12:33AM IST","Coal mine auction likely in May, 30 new blocks to be put on offer","The coal ministry will auction coal mines by May 10 to boost domestic production, reduce imports, and encourage imported coal-based power plants to switch to domestic fuel, aiming for zero thermal coal imports."
189,Tata Steel,"18 Apr,2024, 05:04PM IST","Intimation under Regulation 39(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","Intimation under Regulation 39(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
190,Tata Steel,"18 Apr 2024, 04:20PM IST",Share market update: Most active stocks in today's market in terms of volume,The NSE Nifty index closed 152.06 points down at 21995.85
191,Tata Steel,"18 Apr 2024, 09:31AM IST","RIL, banks drive Sensex 300 points higher, Nifty above 22,250; Infy in focus","Indian indices rose on Thursday with key players like Reliance Industries, HDFC Bank, and ICICI Bank leading. BSE Sensex and Nifty50 showed significant gains. Market focused on companies' March quarter results and Middle East tensions."
192,Tata Steel,"17 Apr,2024, 10:30PM IST","Intimation under Regulation 39(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","Intimation under Regulation 39(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
193,Tata Steel,"17 Apr 2024, 07:23PM IST",Ahead of Market: 10 things that will decide D-Street action on Thursday,"Nifty's short-term trend remains weak. But, having placed near the cluster support of around 22000 levels, one may expect an upside bounce from the lows in coming sessions. Immediate resistance is at 22,260 levels, said Nagaraj Shetti of HDFC Securities."
194,Tata Steel,"16 Apr,2024, 07:17PM IST","Intimation under Regulation 39(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","Intimation under Regulation 39(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
195,Tata Steel,"16 Apr 2024, 05:34AM IST",Who will get D-Street's vote: Stocks to benefit from a BJP win in polls,"""The BJP manifesto has a strong positive read-through for Indian equities,"" said Seshadri Sen, head of research at Emkay Global Financial Services. ""Railways, defence, housing mortgages, tourism, and aviation are direct beneficiaries; while textiles and pharma API are probable winners."""
196,Tata Steel,"15 Apr 2024, 09:29PM IST",Ahead of Market: 10 things that will decide D-Street action on Tuesday,"?Indian shares fell on Monday, following losses in Asian markets, as investor sentiment was subdued after Iran's retaliatory attack on Israel over the weekend spurred fears of a wider regional conflict. The NSE Nifty 50 fell 1.1% to 22,272, while the S&P BSE Sensex lost 1.14% to 73,399, at close."
197,Tata Steel,"15 Apr,2024, 06:24PM IST","Intimation under Regulation 39(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","Intimation under Regulation 39(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
198,Tata Steel,"15 Apr,2024, 04:07PM IST","Certificates under Regulation 40(9) read with 61(4) of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015","Certificates under Regulation 40(9) read with 61(4) of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015"
199,Tata Steel,"15 Apr 2024, 01:45PM IST",India's steelmakers fall short of investment target due to delays linked to China,"Indian steelmakers missed investment target for fiscal year 2024 due to delays in importing machinery from China and securing visas for Chinese experts, impacting capacity expansion in the second-biggest crude steel producer."
